"site","year","SST"
"PSSB","2013-01-01",0.077484130859375
"PSFB","2013-01-01",0.077484130859375
"SYSE","2013-01-01",-0.129058837890625
"SYSW","2013-01-01",-0.129058837890625
"SYLM","2013-01-01",-0.129058837890625
"JBAB","2013-01-01",0.0772705078125
"NRBW","2013-01-01",0.4888916015625
"MEBB","2013-01-01",0.4888916015625
"MEKB","2013-01-01",0.4888916015625
"MEPA","2013-01-01",0.4888916015625
"SWAIN","2013-01-01",-0.725128173828125
"OTIS","2013-02-01",-0.557373046875
"CHSWRR","2013-02-01",-1.09417724609375
"CHSWRG","2013-02-01",-1.09417724609375
"PSSB","2013-02-01",-1.26556396484375
"PSFB","2013-02-01",-1.26556396484375
"SYSE","2013-02-01",-1.536376953125
"SYSW","2013-02-01",-1.536376953125
"SYLM","2013-02-01",-1.536376953125
"JBAB","2013-02-01",-1.33944702148438
"NRBW","2013-02-01",-1.68319702148438
"MEBB","2013-02-01",-1.68319702148438
"MEKB","2013-02-01",-1.68319702148438
"MEPA","2013-02-01",-1.68319702148438
"SWAIN","2013-02-01",-1.32492065429688
"OTIS","2013-03-01",-1.51361083984375
"CHSWRR","2013-03-01",-2.4981689453125
"CHSWRG","2013-03-01",-2.4981689453125
"PSSB","2013-03-01",-2.65887451171875
"PSFB","2013-03-01",-2.65887451171875
"SYSE","2013-03-01",-2.98074340820312
"SYSW","2013-03-01",-2.98074340820312
"SYLM","2013-03-01",-2.98074340820312
"JBAB","2013-03-01",-2.75845336914062
"NRBW","2013-03-01",-3.052978515625
"MEBB","2013-03-01",-3.052978515625
"MEKB","2013-03-01",-3.052978515625
"MEPA","2013-03-01",-3.052978515625
"SWAIN","2013-03-01",-2.42303466796875
"OTIS","2013-04-01",-2.57205200195312
"CHSWRR","2013-04-01",-3.61312866210938
"CHSWRG","2013-04-01",-3.61312866210938
"PSSB","2013-04-01",-3.81124877929688
"PSFB","2013-04-01",-3.81124877929688
"SYSE","2013-04-01",-3.9969482421875
"SYSW","2013-04-01",-3.9969482421875
"SYLM","2013-04-01",-3.9969482421875
"JBAB","2013-04-01",-3.85995483398438
"NRBW","2013-04-01",-4.12710571289062
"MEBB","2013-04-01",-4.12710571289062
"MEKB","2013-04-01",-4.12710571289062
"MEPA","2013-04-01",-4.12710571289062
"SWAIN","2013-04-01",-3.4368896484375
"OTIS","2013-05-01",-3.342529296875
"CHSWRR","2013-05-01",-4.41525268554688
"CHSWRG","2013-05-01",-4.41525268554688
"PSSB","2013-05-01",-4.57516479492188
"PSFB","2013-05-01",-4.57516479492188
"SYSE","2013-05-01",-4.80532836914062
"SYSW","2013-05-01",-4.80532836914062
"SYLM","2013-05-01",-4.80532836914062
"JBAB","2013-05-01",-4.65234375
"NRBW","2013-05-01",-4.92214965820312
"MEBB","2013-05-01",-4.92214965820312
"MEKB","2013-05-01",-4.92214965820312
"MEPA","2013-05-01",-4.92214965820312
"SWAIN","2013-05-01",-4.11770629882812
"OTIS","2013-06-01",-3.34771728515625
"CHSWRR","2013-06-01",-4.41690063476562
"CHSWRG","2013-06-01",-4.41690063476562
"PSSB","2013-06-01",-4.63232421875
"PSFB","2013-06-01",-4.63232421875
"SYSE","2013-06-01",-5.00961303710938
"SYSW","2013-06-01",-5.00961303710938
"SYLM","2013-06-01",-5.00961303710938
"JBAB","2013-06-01",-5.01583862304688
"NRBW","2013-06-01",-5.32061767578125
"MEBB","2013-06-01",-5.32061767578125
"MEKB","2013-06-01",-5.32061767578125
"MEPA","2013-06-01",-5.32061767578125
"SWAIN","2013-06-01",-3.90054321289062
"OTIS","2013-07-01",-2.99130249023438
"CHSWRR","2013-07-01",-3.11276245117188
"CHSWRG","2013-07-01",-3.11276245117188
"PSSB","2013-07-01",-3.22470092773438
"PSFB","2013-07-01",-3.22470092773438
"SYSE","2013-07-01",-3.70462036132812
"SYSW","2013-07-01",-3.70462036132812
"SYLM","2013-07-01",-3.70462036132812
"JBAB","2013-07-01",-4.26309204101562
"NRBW","2013-07-01",-4.52316284179688
"MEBB","2013-07-01",-4.52316284179688
"MEKB","2013-07-01",-4.52316284179688
"MEPA","2013-07-01",-4.52316284179688
"SWAIN","2013-07-01",-3.40194702148438
"OTIS","2013-08-01",-1.83245849609375
"CHSWRR","2013-08-01",-1.7010498046875
"CHSWRG","2013-08-01",-1.7010498046875
"PSSB","2013-08-01",-1.75225830078125
"PSFB","2013-08-01",-1.75225830078125
"SYSE","2013-08-01",-2.0823974609375
"SYSW","2013-08-01",-2.0823974609375
"SYLM","2013-08-01",-2.0823974609375
"JBAB","2013-08-01",-2.65036010742188
"NRBW","2013-08-01",-2.90985107421875
"MEBB","2013-08-01",-2.90985107421875
"MEKB","2013-08-01",-2.90985107421875
"MEPA","2013-08-01",-2.90985107421875
"SWAIN","2013-08-01",-1.97695922851562
"OTIS","2013-09-01",-0.647064208984375
"CHSWRR","2013-09-01",-0.64581298828125
"CHSWRG","2013-09-01",-0.64581298828125
"PSSB","2013-09-01",-1.0408935546875
"PSFB","2013-09-01",-1.0408935546875
"SYSE","2013-09-01",-1.21224975585938
"SYSW","2013-09-01",-1.21224975585938
"SYLM","2013-09-01",-1.21224975585938
"JBAB","2013-09-01",-1.47064208984375
"NRBW","2013-09-01",-1.41192626953125
"MEBB","2013-09-01",-1.41192626953125
"MEKB","2013-09-01",-1.41192626953125
"MEPA","2013-09-01",-1.41192626953125
"SWAIN","2013-09-01",-0.9130859375
"OTIS","2013-10-01",0.552398681640625
"CHSWRR","2013-10-01",0.67230224609375
"CHSWRG","2013-10-01",0.67230224609375
"PSSB","2013-10-01",0.554779052734375
"PSFB","2013-10-01",0.554779052734375
"SYSE","2013-10-01",0.441375732421875
"SYSW","2013-10-01",0.441375732421875
"SYLM","2013-10-01",0.441375732421875
"JBAB","2013-10-01",0.828094482421875
"NRBW","2013-10-01",1.11199951171875
"MEBB","2013-10-01",1.11199951171875
"MEKB","2013-10-01",1.11199951171875
"MEPA","2013-10-01",1.11199951171875
"SWAIN","2013-10-01",0.1356201171875
"OTIS","2013-11-01",0.542938232421875
"CHSWRR","2013-11-01",0.737762451171875
"CHSWRG","2013-11-01",0.737762451171875
"PSSB","2013-11-01",0.35107421875
"PSFB","2013-11-01",0.35107421875
"SYSE","2013-11-01",0.32440185546875
"SYSW","2013-11-01",0.32440185546875
"SYLM","2013-11-01",0.32440185546875
"JBAB","2013-11-01",0.642822265625
"NRBW","2013-11-01",0.797027587890625
"MEBB","2013-11-01",0.797027587890625
"MEKB","2013-11-01",0.797027587890625
"MEPA","2013-11-01",0.797027587890625
"SWAIN","2013-11-01",-0.1619873046875
"OTIS","2013-12-01",0.052825927734375
"CHSWRR","2013-12-01",-0.176971435546875
"CHSWRG","2013-12-01",-0.176971435546875
"PSSB","2013-12-01",-0.56695556640625
"PSFB","2013-12-01",-0.56695556640625
"SYSE","2013-12-01",-0.603271484375
"SYSW","2013-12-01",-0.603271484375
"SYLM","2013-12-01",-0.603271484375
"JBAB","2013-12-01",-0.42633056640625
"NRBW","2013-12-01",-0.585784912109375
"MEBB","2013-12-01",-0.585784912109375
"MEKB","2013-12-01",-0.585784912109375
"MEPA","2013-12-01",-0.585784912109375
"SWAIN","2013-12-01",-0.524200439453125
"OTIS","2014-01-01",0.477874755859375
"CHSWRR","2014-01-01",0.30908203125
"CHSWRG","2014-01-01",0.30908203125
"PSSB","2014-01-01",-0.2955322265625
"PSFB","2014-01-01",-0.2955322265625
"SYSE","2014-01-01",-0.403839111328125
"SYSW","2014-01-01",-0.403839111328125
"SYLM","2014-01-01",-0.403839111328125
"JBAB","2014-01-01",-0.8502197265625
"NRBW","2014-01-01",-0.579315185546875
"MEBB","2014-01-01",-0.579315185546875
"MEKB","2014-01-01",-0.579315185546875
"MEPA","2014-01-01",-0.579315185546875
"SWAIN","2014-01-01",0.2091064453125
"OTIS","2014-02-01",-0.499267578125
"CHSWRR","2014-02-01",-1.05252075195312
"CHSWRG","2014-02-01",-1.05252075195312
"PSSB","2014-02-01",-1.2342529296875
"PSFB","2014-02-01",-1.2342529296875
"SYSE","2014-02-01",-1.35910034179688
"SYSW","2014-02-01",-1.35910034179688
"SYLM","2014-02-01",-1.35910034179688
"JBAB","2014-02-01",-1.32150268554688
"NRBW","2014-02-01",-1.78921508789062
"MEBB","2014-02-01",-1.78921508789062
"MEKB","2014-02-01",-1.78921508789062
"MEPA","2014-02-01",-1.78921508789062
"SWAIN","2014-02-01",-1.68844604492188
"OTIS","2014-03-01",-1.41531372070312
"CHSWRR","2014-03-01",-2.4808349609375
"CHSWRG","2014-03-01",-2.4808349609375
"PSSB","2014-03-01",-2.6378173828125
"PSFB","2014-03-01",-2.6378173828125
"SYSE","2014-03-01",-2.9508056640625
"SYSW","2014-03-01",-2.9508056640625
"SYLM","2014-03-01",-2.9508056640625
"JBAB","2014-03-01",-2.96075439453125
"NRBW","2014-03-01",-3.40786743164062
"MEBB","2014-03-01",-3.40786743164062
"MEKB","2014-03-01",-3.40786743164062
"MEPA","2014-03-01",-3.40786743164062
"SWAIN","2014-03-01",-2.45697021484375
"OTIS","2014-04-01",-2.366455078125
"CHSWRR","2014-04-01",-3.39013671875
"CHSWRG","2014-04-01",-3.39013671875
"PSSB","2014-04-01",-3.62503051757812
"PSFB","2014-04-01",-3.62503051757812
"SYSE","2014-04-01",-3.83883666992188
"SYSW","2014-04-01",-3.83883666992188
"SYLM","2014-04-01",-3.83883666992188
"JBAB","2014-04-01",-3.91134643554688
"NRBW","2014-04-01",-4.42022705078125
"MEBB","2014-04-01",-4.42022705078125
"MEKB","2014-04-01",-4.42022705078125
"MEPA","2014-04-01",-4.42022705078125
"SWAIN","2014-04-01",-3.15646362304688
"OTIS","2014-05-01",-2.87628173828125
"CHSWRR","2014-05-01",-3.67218017578125
"CHSWRG","2014-05-01",-3.67218017578125
"PSSB","2014-05-01",-4.03985595703125
"PSFB","2014-05-01",-4.03985595703125
"SYSE","2014-05-01",-4.2882080078125
"SYSW","2014-05-01",-4.2882080078125
"SYLM","2014-05-01",-4.2882080078125
"JBAB","2014-05-01",-4.5242919921875
"NRBW","2014-05-01",-5.08334350585938
"MEBB","2014-05-01",-5.08334350585938
"MEKB","2014-05-01",-5.08334350585938
"MEPA","2014-05-01",-5.08334350585938
"SWAIN","2014-05-01",-3.38458251953125
"OTIS","2014-06-01",-2.92575073242188
"CHSWRR","2014-06-01",-3.43341064453125
"CHSWRG","2014-06-01",-3.43341064453125
"PSSB","2014-06-01",-3.65133666992188
"PSFB","2014-06-01",-3.65133666992188
"SYSE","2014-06-01",-3.91290283203125
"SYSW","2014-06-01",-3.91290283203125
"SYLM","2014-06-01",-3.91290283203125
"JBAB","2014-06-01",-4.46127319335938
"NRBW","2014-06-01",-4.98583984375
"MEBB","2014-06-01",-4.98583984375
"MEKB","2014-06-01",-4.98583984375
"MEPA","2014-06-01",-4.98583984375
"SWAIN","2014-06-01",-3.18096923828125
"OTIS","2014-07-01",-2.66458129882812
"CHSWRR","2014-07-01",-3.14779663085938
"CHSWRG","2014-07-01",-3.14779663085938
"PSSB","2014-07-01",-3.17922973632812
"PSFB","2014-07-01",-3.17922973632812
"SYSE","2014-07-01",-3.50830078125
"SYSW","2014-07-01",-3.50830078125
"SYLM","2014-07-01",-3.50830078125
"JBAB","2014-07-01",-3.87152099609375
"NRBW","2014-07-01",-4.29046630859375
"MEBB","2014-07-01",-4.29046630859375
"MEKB","2014-07-01",-4.29046630859375
"MEPA","2014-07-01",-4.29046630859375
"SWAIN","2014-07-01",-2.87939453125
"OTIS","2014-08-01",-1.59695434570312
"CHSWRR","2014-08-01",-1.87643432617188
"CHSWRG","2014-08-01",-1.87643432617188
"PSSB","2014-08-01",-1.95187377929688
"PSFB","2014-08-01",-1.95187377929688
"SYSE","2014-08-01",-2.16455078125
"SYSW","2014-08-01",-2.16455078125
"SYLM","2014-08-01",-2.16455078125
"JBAB","2014-08-01",-2.44924926757812
"NRBW","2014-08-01",-2.7283935546875
"MEBB","2014-08-01",-2.7283935546875
"MEKB","2014-08-01",-2.7283935546875
"MEPA","2014-08-01",-2.7283935546875
"SWAIN","2014-08-01",-1.64590454101562
"OTIS","2014-09-01",-0.49395751953125
"CHSWRR","2014-09-01",-0.599517822265625
"CHSWRG","2014-09-01",-0.599517822265625
"PSSB","2014-09-01",-0.916473388671875
"PSFB","2014-09-01",-0.916473388671875
"SYSE","2014-09-01",-1.01766967773438
"SYSW","2014-09-01",-1.01766967773438
"SYLM","2014-09-01",-1.01766967773438
"JBAB","2014-09-01",-1.36032104492188
"NRBW","2014-09-01",-1.37808227539062
"MEBB","2014-09-01",-1.37808227539062
"MEKB","2014-09-01",-1.37808227539062
"MEPA","2014-09-01",-1.37808227539062
"SWAIN","2014-09-01",-0.518707275390625
"OTIS","2014-10-01",0.933807373046875
"CHSWRR","2014-10-01",1.1221923828125
"CHSWRG","2014-10-01",1.1221923828125
"PSSB","2014-10-01",0.646270751953125
"PSFB","2014-10-01",0.646270751953125
"SYSE","2014-10-01",0.520477294921875
"SYSW","2014-10-01",0.520477294921875
"SYLM","2014-10-01",0.520477294921875
"JBAB","2014-10-01",0.15826416015625
"NRBW","2014-10-01",0.089691162109375
"MEBB","2014-10-01",0.089691162109375
"MEKB","2014-10-01",0.089691162109375
"MEPA","2014-10-01",0.089691162109375
"SWAIN","2014-10-01",0.58233642578125
"OTIS","2014-11-01",0.760528564453125
"CHSWRR","2014-11-01",0.636749267578125
"CHSWRG","2014-11-01",0.636749267578125
"PSSB","2014-11-01",0.15625
"PSFB","2014-11-01",0.15625
"SYSE","2014-11-01",0.18353271484375
"SYSW","2014-11-01",0.18353271484375
"SYLM","2014-11-01",0.18353271484375
"JBAB","2014-11-01",0.34710693359375
"NRBW","2014-11-01",0.1484375
"MEBB","2014-11-01",0.1484375
"MEKB","2014-11-01",0.1484375
"MEPA","2014-11-01",0.1484375
"SWAIN","2014-11-01",0.098175048828125
"OTIS","2014-12-01",0.066253662109375
"CHSWRR","2014-12-01",0.174896240234375
"CHSWRG","2014-12-01",0.174896240234375
"PSSB","2014-12-01",-0.32403564453125
"PSFB","2014-12-01",-0.32403564453125
"SYSE","2014-12-01",-0.24066162109375
"SYSW","2014-12-01",-0.24066162109375
"SYLM","2014-12-01",-0.24066162109375
"JBAB","2014-12-01",-0.25054931640625
"NRBW","2014-12-01",-0.675262451171875
"MEBB","2014-12-01",-0.675262451171875
"MEKB","2014-12-01",-0.675262451171875
"MEPA","2014-12-01",-0.675262451171875
"SWAIN","2014-12-01",-0.940887451171875
"OTIS","2015-01-01",0.726654052734375
"CHSWRR","2015-01-01",1.00265502929688
"CHSWRG","2015-01-01",1.00265502929688
"PSSB","2015-01-01",0.502685546875
"PSFB","2015-01-01",0.502685546875
"SYSE","2015-01-01",0.4205322265625
"SYSW","2015-01-01",0.4205322265625
"SYLM","2015-01-01",0.4205322265625
"JBAB","2015-01-01",-0.041259765625
"NRBW","2015-01-01",-0.315155029296875
"MEBB","2015-01-01",-0.315155029296875
"MEKB","2015-01-01",-0.315155029296875
"MEPA","2015-01-01",-0.315155029296875
"SWAIN","2015-01-01",0.652740478515625
"OTIS","2015-02-01",-0.08209228515625
"CHSWRR","2015-02-01",-0.281646728515625
"CHSWRG","2015-02-01",-0.281646728515625
"PSSB","2015-02-01",-0.426666259765625
"PSFB","2015-02-01",-0.426666259765625
"SYSE","2015-02-01",-0.727020263671875
"SYSW","2015-02-01",-0.727020263671875
"SYLM","2015-02-01",-0.727020263671875
"JBAB","2015-02-01",-0.9224853515625
"NRBW","2015-02-01",-1.64544677734375
"MEBB","2015-02-01",-1.64544677734375
"MEKB","2015-02-01",-1.64544677734375
"MEPA","2015-02-01",-1.64544677734375
"SWAIN","2015-02-01",-0.802337646484375
"OTIS","2015-03-01",-1.3682861328125
"CHSWRR","2015-03-01",-1.96826171875
"CHSWRG","2015-03-01",-1.96826171875
"PSSB","2015-03-01",-1.99313354492188
"PSFB","2015-03-01",-1.99313354492188
"SYSE","2015-03-01",-2.33554077148438
"SYSW","2015-03-01",-2.33554077148438
"SYLM","2015-03-01",-2.33554077148438
"JBAB","2015-03-01",-2.4267578125
"NRBW","2015-03-01",-3.05886840820312
"MEBB","2015-03-01",-3.05886840820312
"MEKB","2015-03-01",-3.05886840820312
"MEPA","2015-03-01",-3.05886840820312
"SWAIN","2015-03-01",-2.353759765625
"OTIS","2015-04-01",-2.46490478515625
"CHSWRR","2015-04-01",-3.24533081054688
"CHSWRG","2015-04-01",-3.24533081054688
"PSSB","2015-04-01",-3.35360717773438
"PSFB","2015-04-01",-3.35360717773438
"SYSE","2015-04-01",-3.66824340820312
"SYSW","2015-04-01",-3.66824340820312
"SYLM","2015-04-01",-3.66824340820312
"JBAB","2015-04-01",-3.75045776367188
"NRBW","2015-04-01",-4.20022583007812
"MEBB","2015-04-01",-4.20022583007812
"MEKB","2015-04-01",-4.20022583007812
"MEPA","2015-04-01",-4.20022583007812
"SWAIN","2015-04-01",-3.38140869140625
"OTIS","2015-05-01",-3.10540771484375
"CHSWRR","2015-05-01",-4.10260009765625
"CHSWRG","2015-05-01",-4.10260009765625
"PSSB","2015-05-01",-4.15118408203125
"PSFB","2015-05-01",-4.15118408203125
"SYSE","2015-05-01",-4.45614624023438
"SYSW","2015-05-01",-4.45614624023438
"SYLM","2015-05-01",-4.45614624023438
"JBAB","2015-05-01",-4.49331665039062
"NRBW","2015-05-01",-4.98104858398438
"MEBB","2015-05-01",-4.98104858398438
"MEKB","2015-05-01",-4.98104858398438
"MEPA","2015-05-01",-4.98104858398438
"SWAIN","2015-05-01",-3.81805419921875
"OTIS","2015-06-01",-3.18035888671875
"CHSWRR","2015-06-01",-3.89605712890625
"CHSWRG","2015-06-01",-3.89605712890625
"PSSB","2015-06-01",-3.964111328125
"PSFB","2015-06-01",-3.964111328125
"SYSE","2015-06-01",-4.22119140625
"SYSW","2015-06-01",-4.22119140625
"SYLM","2015-06-01",-4.22119140625
"JBAB","2015-06-01",-4.445068359375
"NRBW","2015-06-01",-4.9700927734375
"MEBB","2015-06-01",-4.9700927734375
"MEKB","2015-06-01",-4.9700927734375
"MEPA","2015-06-01",-4.9700927734375
"SWAIN","2015-06-01",-3.75656127929688
"OTIS","2015-07-01",-2.63674926757812
"CHSWRR","2015-07-01",-3.08749389648438
"CHSWRG","2015-07-01",-3.08749389648438
"PSSB","2015-07-01",-3.19546508789062
"PSFB","2015-07-01",-3.19546508789062
"SYSE","2015-07-01",-3.51205444335938
"SYSW","2015-07-01",-3.51205444335938
"SYLM","2015-07-01",-3.51205444335938
"JBAB","2015-07-01",-3.81280517578125
"NRBW","2015-07-01",-4.16241455078125
"MEBB","2015-07-01",-4.16241455078125
"MEKB","2015-07-01",-4.16241455078125
"MEPA","2015-07-01",-4.16241455078125
"SWAIN","2015-07-01",-3.09375
"OTIS","2015-08-01",-1.80563354492188
"CHSWRR","2015-08-01",-1.89041137695312
"CHSWRG","2015-08-01",-1.89041137695312
"PSSB","2015-08-01",-1.86114501953125
"PSFB","2015-08-01",-1.86114501953125
"SYSE","2015-08-01",-2.24569702148438
"SYSW","2015-08-01",-2.24569702148438
"SYLM","2015-08-01",-2.24569702148438
"JBAB","2015-08-01",-2.49655151367188
"NRBW","2015-08-01",-2.6474609375
"MEBB","2015-08-01",-2.6474609375
"MEKB","2015-08-01",-2.6474609375
"MEPA","2015-08-01",-2.6474609375
"SWAIN","2015-08-01",-2.22354125976562
"OTIS","2015-09-01",-0.736480712890625
"CHSWRR","2015-09-01",-0.769805908203125
"CHSWRG","2015-09-01",-0.769805908203125
"PSSB","2015-09-01",-0.895538330078125
"PSFB","2015-09-01",-0.895538330078125
"SYSE","2015-09-01",-1.04638671875
"SYSW","2015-09-01",-1.04638671875
"SYLM","2015-09-01",-1.04638671875
"JBAB","2015-09-01",-0.94171142578125
"NRBW","2015-09-01",-0.79205322265625
"MEBB","2015-09-01",-0.79205322265625
"MEKB","2015-09-01",-0.79205322265625
"MEPA","2015-09-01",-0.79205322265625
"SWAIN","2015-09-01",-1.14111328125
"OTIS","2015-10-01",1.48919677734375
"CHSWRR","2015-10-01",1.78475952148438
"CHSWRG","2015-10-01",1.78475952148438
"PSSB","2015-10-01",1.50555419921875
"PSFB","2015-10-01",1.50555419921875
"SYSE","2015-10-01",1.444091796875
"SYSW","2015-10-01",1.444091796875
"SYLM","2015-10-01",1.444091796875
"JBAB","2015-10-01",1.25326538085938
"NRBW","2015-10-01",0.9912109375
"MEBB","2015-10-01",0.9912109375
"MEKB","2015-10-01",0.9912109375
"MEPA","2015-10-01",0.9912109375
"SWAIN","2015-10-01",1.12652587890625
"OTIS","2015-11-01",1.30642700195312
"CHSWRR","2015-11-01",1.32369995117188
"CHSWRG","2015-11-01",1.32369995117188
"PSSB","2015-11-01",0.476318359375
"PSFB","2015-11-01",0.476318359375
"SYSE","2015-11-01",0.60455322265625
"SYSW","2015-11-01",0.60455322265625
"SYLM","2015-11-01",0.60455322265625
"JBAB","2015-11-01",0.6116943359375
"NRBW","2015-11-01",0.238433837890625
"MEBB","2015-11-01",0.238433837890625
"MEKB","2015-11-01",0.238433837890625
"MEPA","2015-11-01",0.238433837890625
"SWAIN","2015-11-01",1.00460815429688
"OTIS","2015-12-01",0.698760986328125
"CHSWRR","2015-12-01",0.9293212890625
"CHSWRG","2015-12-01",0.9293212890625
"PSSB","2015-12-01",0.324066162109375
"PSFB","2015-12-01",0.324066162109375
"SYSE","2015-12-01",0.33892822265625
"SYSW","2015-12-01",0.33892822265625
"SYLM","2015-12-01",0.33892822265625
"JBAB","2015-12-01",0.175140380859375
"NRBW","2015-12-01",-0.58038330078125
"MEBB","2015-12-01",-0.58038330078125
"MEKB","2015-12-01",-0.58038330078125
"MEPA","2015-12-01",-0.58038330078125
"SWAIN","2015-12-01",0.33123779296875
"OTIS","2016-01-01",0.302276611328125
"CHSWRR","2016-01-01",0.378692626953125
"CHSWRG","2016-01-01",0.378692626953125
"PSSB","2016-01-01",0.1646728515625
"PSFB","2016-01-01",0.1646728515625
"SYSE","2016-01-01",-0.115234375
"SYSW","2016-01-01",-0.115234375
"SYLM","2016-01-01",-0.115234375
"JBAB","2016-01-01",-0.0361328125
"NRBW","2016-01-01",0.162322998046875
"MEBB","2016-01-01",0.162322998046875
"MEKB","2016-01-01",0.162322998046875
"MEPA","2016-01-01",0.162322998046875
"SWAIN","2016-01-01",-0.166046142578125
"OTIS","2016-02-01",-0.676483154296875
"CHSWRR","2016-02-01",-0.79425048828125
"CHSWRG","2016-02-01",-0.79425048828125
"PSSB","2016-02-01",-0.675323486328125
"PSFB","2016-02-01",-0.675323486328125
"SYSE","2016-02-01",-0.7769775390625
"SYSW","2016-02-01",-0.7769775390625
"SYLM","2016-02-01",-0.7769775390625
"JBAB","2016-02-01",-0.7509765625
"NRBW","2016-02-01",-1.04666137695312
"MEBB","2016-02-01",-1.04666137695312
"MEKB","2016-02-01",-1.04666137695312
"MEPA","2016-02-01",-1.04666137695312
"SWAIN","2016-02-01",-1.4232177734375
"OTIS","2016-03-01",-1.50686645507812
"CHSWRR","2016-03-01",-1.96090698242188
"CHSWRG","2016-03-01",-1.96090698242188
"PSSB","2016-03-01",-1.8565673828125
"PSFB","2016-03-01",-1.8565673828125
"SYSE","2016-03-01",-2.1181640625
"SYSW","2016-03-01",-2.1181640625
"SYLM","2016-03-01",-2.1181640625
"JBAB","2016-03-01",-1.97955322265625
"NRBW","2016-03-01",-2.439697265625
"MEBB","2016-03-01",-2.439697265625
"MEKB","2016-03-01",-2.439697265625
"MEPA","2016-03-01",-2.439697265625
"SWAIN","2016-03-01",-2.38778686523438
"OTIS","2016-04-01",-2.04556274414062
"CHSWRR","2016-04-01",-2.7406005859375
"CHSWRG","2016-04-01",-2.7406005859375
"PSSB","2016-04-01",-2.91525268554688
"PSFB","2016-04-01",-2.91525268554688
"SYSE","2016-04-01",-3.19345092773438
"SYSW","2016-04-01",-3.19345092773438
"SYLM","2016-04-01",-3.19345092773438
"JBAB","2016-04-01",-3.13119506835938
"NRBW","2016-04-01",-3.54312133789062
"MEBB","2016-04-01",-3.54312133789062
"MEKB","2016-04-01",-3.54312133789062
"MEPA","2016-04-01",-3.54312133789062
"SWAIN","2016-04-01",-2.81967163085938
"OTIS","2016-05-01",-2.32534790039062
"CHSWRR","2016-05-01",-2.960693359375
"CHSWRG","2016-05-01",-2.960693359375
"PSSB","2016-05-01",-3.46246337890625
"PSFB","2016-05-01",-3.46246337890625
"SYSE","2016-05-01",-3.798095703125
"SYSW","2016-05-01",-3.798095703125
"SYLM","2016-05-01",-3.798095703125
"JBAB","2016-05-01",-3.94332885742188
"NRBW","2016-05-01",-4.35317993164062
"MEBB","2016-05-01",-4.35317993164062
"MEKB","2016-05-01",-4.35317993164062
"MEPA","2016-05-01",-4.35317993164062
"SWAIN","2016-05-01",-2.96429443359375
"OTIS","2016-06-01",-2.218994140625
"CHSWRR","2016-06-01",-3.08047485351562
"CHSWRG","2016-06-01",-3.08047485351562
"PSSB","2016-06-01",-3.73602294921875
"PSFB","2016-06-01",-3.73602294921875
"SYSE","2016-06-01",-4.21478271484375
"SYSW","2016-06-01",-4.21478271484375
"SYLM","2016-06-01",-4.21478271484375
"JBAB","2016-06-01",-4.4888916015625
"NRBW","2016-06-01",-4.91226196289062
"MEBB","2016-06-01",-4.91226196289062
"MEKB","2016-06-01",-4.91226196289062
"MEPA","2016-06-01",-4.91226196289062
"SWAIN","2016-06-01",-2.59149169921875
"OTIS","2016-07-01",-1.95440673828125
"CHSWRR","2016-07-01",-2.54751586914062
"CHSWRG","2016-07-01",-2.54751586914062
"PSSB","2016-07-01",-3.23989868164062
"PSFB","2016-07-01",-3.23989868164062
"SYSE","2016-07-01",-3.54067993164062
"SYSW","2016-07-01",-3.54067993164062
"SYLM","2016-07-01",-3.54067993164062
"JBAB","2016-07-01",-4.2012939453125
"NRBW","2016-07-01",-4.6370849609375
"MEBB","2016-07-01",-4.6370849609375
"MEKB","2016-07-01",-4.6370849609375
"MEPA","2016-07-01",-4.6370849609375
"SWAIN","2016-07-01",-2.29339599609375
"OTIS","2016-08-01",-1.23538208007812
"CHSWRR","2016-08-01",-0.90447998046875
"CHSWRG","2016-08-01",-0.90447998046875
"PSSB","2016-08-01",-1.534912109375
"PSFB","2016-08-01",-1.534912109375
"SYSE","2016-08-01",-1.81051635742188
"SYSW","2016-08-01",-1.81051635742188
"SYLM","2016-08-01",-1.81051635742188
"JBAB","2016-08-01",-2.44989013671875
"NRBW","2016-08-01",-2.9112548828125
"MEBB","2016-08-01",-2.9112548828125
"MEKB","2016-08-01",-2.9112548828125
"MEPA","2016-08-01",-2.9112548828125
"SWAIN","2016-08-01",-1.66000366210938
"OTIS","2016-09-01",-0.2510986328125
"CHSWRR","2016-09-01",-0.1490478515625
"CHSWRG","2016-09-01",-0.1490478515625
"PSSB","2016-09-01",-0.73858642578125
"PSFB","2016-09-01",-0.73858642578125
"SYSE","2016-09-01",-0.834564208984375
"SYSW","2016-09-01",-0.834564208984375
"SYLM","2016-09-01",-0.834564208984375
"JBAB","2016-09-01",-1.06008911132812
"NRBW","2016-09-01",-1.25936889648438
"MEBB","2016-09-01",-1.25936889648438
"MEKB","2016-09-01",-1.25936889648438
"MEPA","2016-09-01",-1.25936889648438
"SWAIN","2016-09-01",-0.647552490234375
"OTIS","2016-10-01",1.08059692382812
"CHSWRR","2016-10-01",1.80569458007812
"CHSWRG","2016-10-01",1.80569458007812
"PSSB","2016-10-01",1.2713623046875
"PSFB","2016-10-01",1.2713623046875
"SYSE","2016-10-01",0.951202392578125
"SYSW","2016-10-01",0.951202392578125
"SYLM","2016-10-01",0.951202392578125
"JBAB","2016-10-01",0.636505126953125
