"site","time","SST"
"PSFB","2006-10-01",0.402069091796875
"SYSE","2006-10-01",0.54229736328125
"SYSW","2006-10-01",0.54229736328125
"SYLM","2006-10-01",0.54229736328125
"JBAB","2006-10-01",0.576446533203125
"NRBW","2006-10-01",0.7125244140625
"MEBB","2006-10-01",0.7125244140625
"MEKB","2006-10-01",0.7125244140625
"MEPA","2006-10-01",0.7125244140625
"SWAIN","2006-10-01",0.8680419921875
"OTIS","2006-11-01",0.7769775390625
"CHSWRR","2006-11-01",0.296112060546875
"CHSWRG","2006-11-01",0.296112060546875
"PSSB","2006-11-01",0.213714599609375
"PSFB","2006-11-01",0.213714599609375
"SYSE","2006-11-01",0.2900390625
"SYSW","2006-11-01",0.2900390625
"SYLM","2006-11-01",0.2900390625
"JBAB","2006-11-01",0.5245361328125
"NRBW","2006-11-01",0.533447265625
"MEBB","2006-11-01",0.533447265625
"MEKB","2006-11-01",0.533447265625
"MEPA","2006-11-01",0.533447265625
"SWAIN","2006-11-01",0.7113037109375
"OTIS","2006-12-01",0.20892333984375
"CHSWRR","2006-12-01",-0.279327392578125
"CHSWRG","2006-12-01",-0.279327392578125
"PSSB","2006-12-01",-0.41796875
"PSFB","2006-12-01",-0.41796875
"SYSE","2006-12-01",-0.3372802734375
"SYSW","2006-12-01",-0.3372802734375
"SYLM","2006-12-01",-0.3372802734375
"JBAB","2006-12-01",-0.1849365234375
"NRBW","2006-12-01",-0.360626220703125
"MEBB","2006-12-01",-0.360626220703125
"MEKB","2006-12-01",-0.360626220703125
"MEPA","2006-12-01",-0.360626220703125
"SWAIN","2006-12-01",-0.1072998046875
"OTIS","2007-01-01",0.266204833984375
"CHSWRR","2007-01-01",-0.50384521484375
"CHSWRG","2007-01-01",-0.50384521484375
"PSSB","2007-01-01",-1.02459716796875
"PSFB","2007-01-01",-1.02459716796875
"SYSE","2007-01-01",-0.936981201171875
"SYSW","2007-01-01",-0.936981201171875
"SYLM","2007-01-01",-0.936981201171875
"JBAB","2007-01-01",-0.6866455078125
"NRBW","2007-01-01",-0.36334228515625
"MEBB","2007-01-01",-0.36334228515625
"MEKB","2007-01-01",-0.36334228515625
"MEPA","2007-01-01",-0.36334228515625
"SWAIN","2007-01-01",0.452178955078125
"OTIS","2007-02-01",-0.7335205078125
"CHSWRR","2007-02-01",-1.83953857421875
"CHSWRG","2007-02-01",-1.83953857421875
"PSSB","2007-02-01",-1.787353515625
"PSFB","2007-02-01",-1.787353515625
"SYSE","2007-02-01",-2.04965209960938
"SYSW","2007-02-01",-2.04965209960938
"SYLM","2007-02-01",-2.04965209960938
"JBAB","2007-02-01",-1.839599609375
"NRBW","2007-02-01",-1.87857055664062
"MEBB","2007-02-01",-1.87857055664062
"MEKB","2007-02-01",-1.87857055664062
"MEPA","2007-02-01",-1.87857055664062
"SWAIN","2007-02-01",-0.88079833984375
"OTIS","2007-03-01",-1.61892700195312
"CHSWRR","2007-03-01",-2.90179443359375
"CHSWRG","2007-03-01",-2.90179443359375
"PSSB","2007-03-01",-2.9833984375
"PSFB","2007-03-01",-2.9833984375
"SYSE","2007-03-01",-3.29605102539062
"SYSW","2007-03-01",-3.29605102539062
"SYLM","2007-03-01",-3.29605102539062
"JBAB","2007-03-01",-3.10275268554688
"NRBW","2007-03-01",-3.17214965820312
"MEBB","2007-03-01",-3.17214965820312
"MEKB","2007-03-01",-3.17214965820312
"MEPA","2007-03-01",-3.17214965820312
"SWAIN","2007-03-01",-1.89031982421875
"OTIS","2007-04-01",-2.54953002929688
"CHSWRR","2007-04-01",-3.84957885742188
"CHSWRG","2007-04-01",-3.84957885742188
"PSSB","2007-04-01",-4.06796264648438
"PSFB","2007-04-01",-4.06796264648438
"SYSE","2007-04-01",-4.21493530273438
"SYSW","2007-04-01",-4.21493530273438
"SYLM","2007-04-01",-4.21493530273438
"JBAB","2007-04-01",-4.11886596679688
"NRBW","2007-04-01",-4.20379638671875
"MEBB","2007-04-01",-4.20379638671875
"MEKB","2007-04-01",-4.20379638671875
"MEPA","2007-04-01",-4.20379638671875
"SWAIN","2007-04-01",-2.90585327148438
"OTIS","2007-05-01",-3.2705078125
"CHSWRR","2007-05-01",-4.54098510742188
"CHSWRG","2007-05-01",-4.54098510742188
